step,kinetic_energy,angular_momentum_z
0,20.15254633357908,-5.229594535194337e-12
1,181.37291286741768,-1.241460267920047e-10
2,725.4916265947339,5.520632839761674e-10
3,2015.2544260670657,2.735760062932968e-09
4,4534.322198986669,1.0841176845133305e-09
5,8887.270898960174,6.453774403780699e-09
6,15799.591441413038,6.963091436773539e-09
7,26117.689578664937,-6.621121428906918e-10
8,40808.885754166426,4.2273313738405704e-09
9,60961.41493589674,1.6705598682165146e-08
10,87784.42642892341,-2.0227162167429924e-09
11,122607.98366712194,1.1204974725842476e-08
12,166883.0639840579,-7.727066986262798e-09
13,222181.55836303125,-1.4842953532934189e-08
14,290196.27116628014,-3.434251993894577e-09
15,372740.919843349,-1.9674189388751984e-08
16,471750.13461861626,1.626904122531414e-08
17,589279.4581579854,6.693881005048752e-09
18,727505.3452147394,4.086177796125412e-08
19,888725.1622545533,-3.480818122625351e-08
20,1075357.1870596723,3.183959051966667e-08
21,1289940.6083122552,2.270098775625229e-09
22,1535135.525156871,5.163019523024559e-08
23,1813722.9467421684,4.889443516731262e-09
24,2128604.7917417046,5.192123353481293e-08
25,2482803.8878539335,4.1443854570388794e-08
26,2879463.9712813655,4.0512531995773315e-08
27,3321849.686188879,1.150183379650116e-07
28,3813346.5841412107,3.958120942115784e-09
29,4357461.123519594,4.4354237616062164e-08
30,4957820.668917567,4.225876182317734e-08
31,5618173.490515957,8.963979780673981e-08
32,6342388.76343701,9.778887033462524e-09
33,7134456.567077693,2.491287887096405e-08
34,7998487.884422164,-1.5774276107549667e-07
35,8938714.601333411,5.0640664994716644e-08
36,9959489.505824033,-6.565824151039124e-08
37,11065286.28730622,1.1152587831020355e-07
38,12260699.535820868,2.9336661100387573e-08
39,13550444.741245892,7.12461769580841e-08
40,14939358.292483656,8.312053978443146e-08
41,16432397.476627631,-1.4668330550193787e-08
42,18034640.478108175,7.450580596923828e-09
43,19751286.377817493,2.2118911147117615e-08
44,21587655.15221376,-1.3969838619232178e-09
45,23549187.672404416,-3.189779818058014e-08
46,25641445.70320865,1.441221684217453e-07
47,27870111.902199,-1.7276033759117126e-07
48,30240989.818722166,-2.4121254682540894e-07
49,32760003.892898977,-3.3387914299964905e-07
50,35433199.45460352,3.748573362827301e-08
51,38266742.72242145,-1.8184073269367218e-07
52,41266920.802587464,-6.798654794692993e-08
53,44440141.687901944,2.016313374042511e-07
54,47792934.256626755,2.561137080192566e-08
55,51331948.271360256,-1.494772732257843e-07
56,55063954.37789142,3.864988684654236e-08
57,58995844.1040332,-3.818422555923462e-07
58,63134629.858434975,-3.4086406230926514e-07
59,67487444.92937426,2.0070001482963562e-07
60,72061543.48352754,-2.3888424038887024e-07
61,76864300.56472024,-9.96515154838562e-08
62,81903212.09265596,-1.0943040251731873e-07
63,87185894.8616248,-2.407468855381012e-07
64,92720086.53919092,-2.3748725652694702e-07
65,98513645.66485918,-8.614733815193176e-08
66,104574551.64872108,1.4901161193847656e-07
67,110910904.77007982,-2.789311110973358e-07
68,117530926.17605448,4.0605664253234863e-07
69,124442957.88016337,1.8812716007232666e-07
70,131655462.76088677,-1.8905848264694214e-07
71,139177024.56020856,-8.242204785346985e-08
72,147016347.88213712,4.1443854570388794e-07
73,155182258.1912056,-2.0582228899002075e-07
74,163683701.81095093,6.752088665962219e-07
75,172529745.92237264,4.0046870708465576e-07
76,181729578.56237018,-3.8370490074157715e-07
77,191292508.62215978,3.1013041734695435e-07
78,201227965.84567073,1.5832483768463135e-07
79,211545500.82792014,-1.2852251529693604e-07
80,222254785.0133676,-3.864988684654236e-07
81,233365610.69424856,-6.034970283508301e-07
82,244887891.00888723,5.587935447692871e-08
83,256831659.93998808,-9.499490261077881e-08
84,269207072.3129074,-2.0954757928848267e-07
